receipt_text,category
grocery store bill total amount gst 6274,grocery
atta dal rice pulses grocery mart 9959,grocery
fresh vegetables onion potato tomato 5966,grocery
atta dal rice pulses grocery mart 6101,grocery
grocery store bill total amount gst 7201,grocery
atta dal rice pulses grocery mart 9861,grocery
fresh vegetables onion potato tomato 9076,grocery
fresh vegetables onion potato tomato 9775,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 3149,grocery
fresh vegetables onion potato tomato 1816,grocery
supermarket invoice grocery items 5216,grocery
grocery store bill total amount gst 4511,grocery
fresh vegetables onion potato tomato 8692,grocery
atta dal rice pulses grocery mart 7326,grocery
grocery store bill total amount gst 2832,grocery
atta dal rice pulses grocery mart 8460,grocery
fresh vegetables onion potato tomato 7802,grocery
grocery store bill total amount gst 8031,grocery
atta dal rice pulses grocery mart 8445,grocery
atta dal rice pulses grocery mart 7870,grocery
atta dal rice pulses grocery mart 7910,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 4466,grocery
grocery store bill total amount gst 3796,grocery
atta dal rice pulses grocery mart 3602,grocery
supermarket invoice grocery items 8285,grocery
grocery store bill total amount gst 319,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 3677,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 5957,grocery
grocery store bill total amount gst 4930,grocery
fresh vegetables onion potato tomato 6256,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 7669,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 7748,grocery
fresh vegetables onion potato tomato 5912,grocery
atta dal rice pulses grocery mart 6110,grocery
atta dal rice pulses grocery mart 9004,grocery
atta dal rice pulses grocery mart 3110,grocery
supermarket invoice grocery items 9722,grocery
fresh vegetables onion potato tomato 1973,grocery
atta dal rice pulses grocery mart 6091,grocery
atta dal rice pulses grocery mart 6850,grocery
supermarket invoice grocery items 6964,grocery
atta dal rice pulses grocery mart 3642,grocery
fresh vegetables onion potato tomato 5045,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 5647,grocery
fresh vegetables onion potato tomato 8178,grocery
atta dal rice pulses grocery mart 7046,grocery
atta dal rice pulses grocery mart 9816,grocery
atta dal rice pulses grocery mart 3749,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 8534,grocery
atta dal rice pulses grocery mart 5317,grocery
grocery store bill total amount gst 3710,grocery
fresh vegetables onion potato tomato 6173,grocery
supermarket invoice grocery items 2033,grocery
atta dal rice pulses grocery mart 1670,grocery
grocery store bill total amount gst 9155,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 4543,grocery
supermarket invoice grocery items 1639,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 8809,grocery
supermarket invoice grocery items 1186,grocery
atta dal rice pulses grocery mart 9522,grocery
fresh vegetables onion potato tomato 2762,grocery
fresh vegetables onion potato tomato 5287,grocery
fresh vegetables onion potato tomato 1240,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 8183,grocery
grocery store bill total amount gst 1641,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 1352,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 7582,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 6931,grocery
atta dal rice pulses grocery mart 1136,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 8762,grocery
atta dal rice pulses grocery mart 1001,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 5448,grocery
grocery store bill total amount gst 6570,grocery
atta dal rice pulses grocery mart 9703,grocery
atta dal rice pulses grocery mart 8249,grocery
fresh vegetables onion potato tomato 2514,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 7652,grocery
fresh vegetables onion potato tomato 7754,grocery
grocery store bill total amount gst 9956,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 4032,grocery
supermarket invoice grocery items 2877,grocery
atta dal rice pulses grocery mart 2707,grocery
supermarket invoice grocery items 4340,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 5006,grocery
atta dal rice pulses grocery mart 6735,grocery
grocery store bill total amount gst 3371,grocery
fresh vegetables onion potato tomato 8164,grocery
grocery store bill total amount gst 5067,grocery
supermarket invoice grocery items 879,grocery
supermarket invoice grocery items 6836,grocery
supermarket invoice grocery items 6580,grocery
grocery store bill total amount gst 7377,grocery
supermarket invoice grocery items 642,grocery
supermarket invoice grocery items 6147,grocery
grocery store bill total amount gst 9387,grocery
supermarket invoice grocery items 377,grocery
grocery store bill total amount gst 7066,grocery
supermarket invoice grocery items 6958,grocery
fresh vegetables onion potato tomato 7340,grocery
milk bread rice wheat sugar oil vegetables fruits supermarket 8250,grocery
coffee tea sandwich cafe bill 5339,restaurant
pizza burger coke restaurant bill 6783,restaurant
coffee tea sandwich cafe bill 8921,restaurant
restaurant food order subtotal tax 7400,restaurant
coffee tea sandwich cafe bill 4460,restaurant
pizza burger coke restaurant bill 6817,restaurant
pizza burger coke restaurant bill 9091,restaurant
coffee tea sandwich cafe bill 3335,restaurant
hotel restaurant gst total amount 4013,restaurant
dinner lunch food invoice service tax 8191,restaurant
restaurant food order subtotal tax 6747,restaurant
pizza burger coke restaurant bill 9554,restaurant
hotel restaurant gst total amount 871,restaurant
pizza burger coke restaurant bill 9118,restaurant
hotel restaurant gst total amount 8610,restaurant
dinner lunch food invoice service tax 1414,restaurant
dinner lunch food invoice service tax 8307,restaurant
hotel restaurant gst total amount 3181,restaurant
dinner lunch food invoice service tax 1307,restaurant
pizza burger coke restaurant bill 2070,restaurant
pizza burger coke restaurant bill 4713,restaurant
pizza burger coke restaurant bill 8668,restaurant
hotel restaurant gst total amount 4340,restaurant
coffee tea sandwich cafe bill 8484,restaurant
